date,pillar,title,status
2026-07-27,1,"The Ranger Field App: one tap instead of a paper checklist",drafted
2026-07-28,2,"Counting 350+ shark detections without a spotter plane — SLSS Bilgola Lookout",drafted
2026-07-29,3,"What changes in a project brief when Traditional Owners are consulted first",drafted
2026-07-30,4,"What 97% model accuracy still needs a Ranger to confirm",drafted
2026-07-31,5,"What a genuine partnership with Traditional Owners looks like on a contract",drafted
2026-08-01,6,"Teaching a classroom why AI needs to be watched, not trusted blindly",drafted
2026-08-02,1,"Why offline-first matters when there's no signal at Goondoi",drafted
2026-08-03,2,"What 109 hours in the air over two months actually covers",drafted
2026-08-04,3,"""Community engagement"" as a checkbox versus a starting point",drafted
2026-08-05,4,"Reading Country the old way, then checking it against a drone's map",drafted
2026-08-06,5,"Why an ""Indigenous engagement"" clause needs more than a signature",drafted
2026-08-07,6,"What students learn flying a drone over Country they've only read about",drafted
2026-08-08,1,"Building a CASA-compliant flight log while you fly, not after",drafted
2026-08-09,2,"Mapping 500+ pond apple trees before a single stem gets injected",drafted
2026-08-10,3,"Why Goondoi Rangers were in the room before a drone ever launched",drafted
2026-08-11,4,"Why the pond apple plan started with Traditional Owner knowledge, not a spreadsheet",
2026-08-12,5,"What to ask before hiring an Indigenous-led drone team",
2026-08-13,6,"A lesson plan that starts with a Ranger's story, not a slide on neural networks",
2026-08-14,1,"18 observation categories, one form: what the Ranger app tracks",
2026-08-15,2,"Four sites, 11 flight routes: what the Horn Island survey found",
2026-08-16,3,"What a project loses when governance is treated as compliance, not partnership",
2026-08-17,4,"Two ways of knowing the same stretch of river, both right",
2026-08-18,5,"Horn Island as a model for how to scope a survey respectfully",
2026-08-19,6,"Explaining a shark detection model to a classroom in plain English",
2026-08-20,1,"What ""AI saves time"" looks like on a Monday morning in the field",
2026-08-21,2,"Why a drone catches a biosecurity threat a walking survey misses",
2026-08-22,3,"How Country knowledge shapes where a drone is actually allowed to fly",
2026-08-23,4,"What an AI model can't tell you about a place that a Ranger already knows",
2026-08-24,5,"Why AI First Nations doesn't sell AI — it sells Indigenous Intelligence enhanced by AI",
2026-08-25,6,"Why an Indigenous lens on AI matters for every student, not just Indigenous students",
2026-08-26,1,"From field note to weekly report without retyping a word",
2026-08-27,2,"Sea country and land country need different rules — same drone, same purpose",
2026-08-28,3,"The difference between consultation and consent — and why it matters",
2026-08-29,4,"Teaching a mangrove classifier what generations of Rangers already knew",
2026-08-30,5,"What changes in a tender when Traditional Owner benefit is designed in, not added on",
2026-08-31,6,"What HSIE students ask when you show them a real ranger's field data",
2026-09-01,1,"How much admin time a digital logbook actually saves a ranger crew",
2026-09-02,2,"What a shark detection flight looks like from takeoff to report",
2026-09-03,3,"What good cultural governance looks like on a contract, not just a policy page",
2026-09-04,4,"Why EfficientNet-B0 needed ground-truth from people who know the site",
2026-09-05,5,"The difference between ticking a diversity box and building a real partnership",
2026-09-06,6,"Teaching bias in AI using a real model, not a hypothetical",
2026-09-07,1,"Compliance paperwork that writes itself while you're still on Country",
2026-09-08,2,"Surveying culturally sensitive sites without a single boot on the ground",
2026-09-09,3,"Why the Traditional Owners set the survey boundaries, not the client",
2026-09-10,4,"When the old knowledge catches an error the new technology missed",
2026-09-11,5,"What a corporate client actually gets from working with a Traditional Owner-led team",
2026-09-12,6,"How a drone class turns ""AI"" from an abstract word into a tool students understand",
2026-09-13,1,"Why rangers needed a tool built for no-signal bush, not an office",
2026-09-14,2,"How a stem-injection map gets built before the chemical does",
2026-09-15,3,"A project that slowed down for governance — and got a better result for it",
2026-09-16,4,"What ""97% accuracy"" means, and what the other 3% still needs a human for",
2026-09-17,5,"Procurement questions that tell you whether an engagement is genuine",
2026-09-18,6,"What a youth program looks like when Country and code sit in the same lesson",
2026-09-19,1,"Turning a season of pond apple treatment notes into one clean record",
2026-09-20,2,"What 300+ flights over one beach actually tells a lifesaving club",
2026-09-21,3,"What happens when a drone team skips the Traditional Owner conversation",
2026-09-22,4,"Building an AI model with knowledge holders in the room, not after",
2026-09-23,5,"Why ""who benefits"" is the first question, not the last, on a contract",
2026-09-24,6,"Why I start every school session with the anchor question, not the technology",
2026-09-25,1,"The gap between ""we did the work"" and ""we can prove we did the work""",
